window_id,embedding_idx
PX849491_0_1000,0
PX849491_500_1500,1
PX849491_1000_2000,2
PX849491_1500_2500,3
PX849491_2000_3000,4
PX849491_2500_3500,5
PX849491_3000_4000,6
PX849491_3500_4500,7
PX849491_4000_5000,8
PX849491_4500_5500,9
PX849491_5000_6000,10
PX849491_5500_6500,11
PX849491_6000_7000,12
PX849491_6500_7500,13
PX849491_7000_8000,14
PX849491_7500_8500,15
PX849491_8000_9000,16
PX849491_8500_9500,17
PX849491_9000_10000,18
PX849491_9500_10500,19
PV440223_0_1000,20
PV440223_500_1500,21
PV440223_1000_2000,22
PV440223_1500_2500,23
PV440223_2000_3000,24
PV440223_2500_3500,25
PV440223_3000_4000,26
PV440223_3500_4500,27
PV440223_4000_5000,28
PV440223_4500_5500,29
PV440223_5000_6000,30
PV440223_5500_6500,31
PV440223_6000_7000,32
PV440223_6500_7500,33
PV440223_7000_8000,34
PV440223_7500_8500,35
PV440223_8000_9000,36
PV440223_8500_9500,37
PV440223_9000_10000,38
PV440223_9500_10500,39
PX447463_0_1000,40
PX447463_500_1500,41
PX447463_1000_2000,42
PX447463_1500_2500,43
PX447463_2000_3000,44
PX447463_2500_3500,45
PX447463_3000_4000,46
PX447463_3500_4500,47
PX447463_4000_5000,48
PX447463_4500_5500,49
PX447463_5000_6000,50
PX447463_5500_6500,51
PX447463_6000_7000,52
PX447463_6500_7500,53
PX447463_7000_8000,54
PX447463_7500_8500,55
PX447463_8000_9000,56
PX447463_8500_9500,57
PX447463_9000_10000,58
PX447463_9500_10500,59
PX447462_0_1000,60
PX447462_500_1500,61
PX447462_1000_2000,62
PX447462_1500_2500,63
PX447462_2000_3000,64
PX447462_2500_3500,65
PX447462_3000_4000,66
PX447462_3500_4500,67
PX447462_4000_5000,68
PX447462_4500_5500,69
PX447462_5000_6000,70
PX447462_5500_6500,71
PX447462_6000_7000,72
PX447462_6500_7500,73
PX447462_7000_8000,74
PX447462_7500_8500,75
PX447462_8000_9000,76
PX447462_8500_9500,77
PX447462_9000_10000,78
PX447462_9500_10500,79
PX447461_0_1000,80
PX447461_500_1500,81
PX447461_1000_2000,82
PX447461_1500_2500,83
PX447461_2000_3000,84
PX447461_2500_3500,85
PX447461_4000_5000,86
PX447461_4500_5500,87
PX447461_5000_6000,88
PX447461_5500_6500,89
PX447461_6000_7000,90
PX447461_6500_7500,91
PX447461_7000_8000,92
PX447461_7500_8500,93
PX447461_8000_9000,94
PX447461_8500_9500,95
PX447461_9000_10000,96
PX447461_9500_10500,97
PX447460_0_1000,98
PX447460_500_1500,99
PX447460_1000_2000,100
PX447460_1500_2500,101
PX447460_2000_3000,102
PX447460_2500_3500,103
PX447460_4000_5000,104
PX447460_4500_5500,105
PX447460_5000_6000,106
PX447460_5500_6500,107
PX447460_6000_7000,108
PX447460_6500_7500,109
PX447460_7000_8000,110
PX447460_7500_8500,111
PX447460_8000_9000,112
PX447460_8500_9500,113
PX447460_9000_10000,114
PX447460_9500_10500,115
PX447457_0_1000,116
PX447457_500_1500,117
PX447457_1000_2000,118
PX447457_1500_2500,119
PX447457_2000_3000,120
PX447457_2500_3500,121
PX447457_3000_4000,122
PX447457_3500_4500,123
PX447457_4000_5000,124
PX447457_4500_5500,125
PX447457_5000_6000,126
PX447457_5500_6500,127
PX447457_6000_7000,128
PX447457_6500_7500,129
PX447457_7000_8000,130
PX447457_7500_8500,131
PX447457_8000_9000,132
PX447457_8500_9500,133
PX447457_9000_10000,134
PX447457_9500_10500,135
PX447456_0_1000,136
PX447456_500_1500,137
PX447456_1000_2000,138
PX447456_1500_2500,139
PX447456_2000_3000,140
PX447456_2500_3500,141
PX447456_3000_4000,142
PX447456_3500_4500,143
PX447456_4000_5000,144
PX447456_4500_5500,145
PX447456_5000_6000,146
PX447456_5500_6500,147
PX447456_6000_7000,148
PX447456_6500_7500,149
PX447456_7000_8000,150
PX447456_7500_8500,151
PX447456_8000_9000,152
PX447456_8500_9500,153
PX447456_9000_10000,154
PX447456_9500_10500,155
PX480447_0_1000,156
PX480447_500_1500,157
PX480447_1000_2000,158
PX480447_1500_2500,159
PX480447_2000_3000,160
PX480447_2500_3500,161
PX480447_3000_4000,162
PX480447_3500_4500,163
PX480447_4000_5000,164
PX480447_4500_5500,165
PX480447_5000_6000,166
PX480447_5500_6500,167
PX480447_6000_7000,168
PX480447_6500_7500,169
PX480447_7000_8000,170
PX480447_7500_8500,171
PX480447_8000_9000,172
PX480447_8500_9500,173
PX480447_9000_10000,174
PX480447_9500_10500,175
PX480446_0_1000,176
PX480446_500_1500,177
PX480446_1000_2000,178
PX480446_1500_2500,179
PX480446_2000_3000,180
PX480446_2500_3500,181
PX480446_3000_4000,182
PX480446_3500_4500,183
PX480446_4000_5000,184
PX480446_4500_5500,185
PX480446_5000_6000,186
PX480446_5500_6500,187
PX480446_6000_7000,188
PX480446_6500_7500,189
PX480446_7000_8000,190
PX480446_7500_8500,191
PX480446_8000_9000,192
PX480446_8500_9500,193
PX480446_9000_10000,194
PX480446_9500_10500,195
PX480445_0_1000,196
PX480445_500_1500,197
PX480445_1000_2000,198
PX480445_1500_2500,199
PX480445_2000_3000,200
PX480445_2500_3500,201
PX480445_3000_4000,202
PX480445_3500_4500,203
PX480445_4000_5000,204
PX480445_4500_5500,205
PX480445_5000_6000,206
PX480445_5500_6500,207
PX480445_6000_7000,208
PX480445_6500_7500,209
PX480445_7000_8000,210
PX480445_7500_8500,211
PX480445_8000_9000,212
PX480445_8500_9500,213
PX480445_9000_10000,214
PX480445_9500_10500,215
PX480444_0_1000,216
PX480444_500_1500,217
PX480444_1000_2000,218
PX480444_1500_2500,219
PX480444_2000_3000,220
PX480444_2500_3500,221
PX480444_3000_4000,222
PX480444_3500_4500,223
PX480444_4000_5000,224
PX480444_4500_5500,225
PX480444_5000_6000,226
PX480444_5500_6500,227
PX480444_6000_7000,228
PX480444_6500_7500,229
PX480444_7000_8000,230
PX480444_7500_8500,231
PX480444_8000_9000,232
PX480444_8500_9500,233
PX480444_9000_10000,234
PX480444_9500_10500,235
PX480443_0_1000,236
PX480443_500_1500,237
PX480443_1000_2000,238
PX480443_1500_2500,239
PX480443_2000_3000,240
PX480443_2500_3500,241
PX480443_3000_4000,242
PX480443_3500_4500,243
PX480443_4000_5000,244
PX480443_4500_5500,245
PX480443_5000_6000,246
PX480443_5500_6500,247
PX480443_6000_7000,248
PX480443_6500_7500,249
